eloid	lapid
1	2002
1	41605
2	1300
3	6209
4	1506
4	6209
4	16809
5	2002
5	19400
5	67221
6	1506
6	21607
6	16809
6	2002
7	21205
8	1300
8	17800
8	381602
9	2002
9	29966
10	1300
10	21205
11	2002
11	6209
12	1300
12	41605
12	16809
13	1506
14	1506
14	68765
15	2301
16	1300
16	32102
16	10009
17	2301
17	21906
18	2002
18	21205
18	29966
19	1506
20	2301
21	2002
21	19400
21	68796
21	6209
21	21205
22	2301
23	2301
23	1300
24	2002
24	16809
25	1300
25	13600
25	16005
26	1506
27	2002
28	2002
28	29966
29	2301
29	21906
29	68796
29	6209
30	2301
31	1300
31	19400
31	21205
31	17800
32	2301
33	1300
34	1506
34	16809
34	2002
34	29966
35	2301
35	21906
36	2301
36	68765
36	21607
37	1300
37	381602
38	2301
39	2301
39	21906
39	41605
40	2002
40	41605
40	6209
41	1300
42	1506
42	21906
42	32102
43	16809
43	2002
44	2301
45	2301
45	57318
45	10009
46	2002
47	1300
47	2301
48	10009
49	2002
49	68796
50	1300
50	6209
50	16809
50	2301
50	21205
51	1506
51	2301
52	2301
52	21607
53	1300
53	21205
53	68765
53	29966
54	2301
54	17800
55	1506
56	2301
56	68796
56	13600
56	16005
57	16809
58	1300
58	67221
58	21205
59	2301
59	41605
59	42307
60	6209
61	2301
61	21906
62	1506
62	67221
63	2301
63	10009
64	1300
64	32102
64	21205
65	2301
65	21607
66	2301
66	68796
66	13600
66	16005
67	2301
67	10009
68	1300
68	29966
68	6312
68	55127
69	2301
70	1506
70	41605
70	21607
71	2301
71	17800
71	6209
72	29966
73	6209
74	2301
74	6209
75	2301
75	29966
76	1506
76	6312
76	68765
77	1300
77	29966
78	1506
78	41605
78	21205
79	2301
79	10009
80	1300
81	2301
82	2301
82	6312
82	21607
83	1506
83	29966
84	6209
84	21607
85	2301
86	1300
86	68796
86	29966
87	2301
88	2301
88	57318
88	13600
88	16005
89	2301
89	21607
90	1300
90	41605
90	21205
91	1506
92	2301
92	21906
93	40800
94	2301
94	68765
94	6209
95	1506
95	17800
95	19400
95	6209
96	2301
96	57318
97	2301
98	2301
99	2301
99	10009
100	1300
100	21906
101	1506
101	32102
101	68796
102	68765
102	6209
103	1300
103	17800
103	41605
