id	hallgatoid	datum	lap	oldal
1	68	2012.09.01	20	1
2	53	2012.09.01	3	1
3	38	2012.09.01	11	1
4	33	2012.09.01	10	1
5	50	2012.09.02	8	1
6	88	2012.09.02	11	1
7	67	2012.09.02	23	1
8	3	2012.09.02	10	1
9	4	2012.09.02	7	2
10	29	2012.09.02	19	1
11	21	2012.09.02	25	1
12	81	2012.09.02	8	1
13	72	2012.09.03	22	1
14	71	2012.09.03	16	1
15	44	2012.09.03	15	1
16	10	2012.09.03	21	2
17	28	2012.09.03	5	1
18	13	2012.09.03	28	1
19	53	2012.09.03	5	1
20	72	2012.09.03	6	1
21	59	2012.09.03	24	1
22	92	2012.09.03	22	2
23	52	2012.09.03	16	1
24	3	2012.09.03	4	1
25	86	2012.09.03	23	2
26	1	2012.09.03	11	1
27	81	2012.09.03	2	1
28	70	2012.09.03	7	1
29	39	2012.09.04	6	2
30	18	2012.09.04	9	1
31	26	2012.09.04	24	1
32	28	2012.09.04	12	1
33	35	2012.09.04	10	1
34	44	2012.09.04	24	2
35	79	2012.09.04	15	2
36	79	2012.09.04	24	2
37	81	2012.09.04	24	1
38	73	2012.09.04	18	2
39	26	2012.09.04	4	1
40	61	2012.09.04	14	1
41	77	2012.09.04	25	1
42	62	2012.09.05	18	1
43	67	2012.09.05	18	2
44	54	2012.09.05	25	1
45	41	2012.09.05	28	1
46	43	2012.09.05	28	2
47	66	2012.09.05	9	1
48	23	2012.09.05	2	1
49	71	2012.09.05	30	2
50	15	2012.09.05	18	1
51	68	2012.09.05	7	1
52	8	2012.09.05	22	1
53	73	2012.09.05	6	1
54	64	2012.09.05	3	2
55	62	2012.09.05	25	2
56	47	2012.09.05	7	1
57	4	2012.09.05	13	1
58	2	2012.09.06	26	1
59	39	2012.09.06	2	2
60	67	2012.09.06	19	1
61	25	2012.09.06	12	1
62	81	2012.09.07	15	1
63	69	2012.09.07	27	2
64	63	2012.09.07	3	1
65	66	2012.09.07	27	1
66	46	2012.09.07	30	2
67	33	2012.09.07	10	1
68	8	2012.09.07	28	2
69	18	2012.09.07	27	2
70	29	2012.09.07	30	1
71	2	2012.09.07	8	1
72	75	2012.09.07	1	1
73	9	2012.09.07	9	1
74	8	2012.09.08	5	1
75	36	2012.09.08	16	1
76	17	2012.09.08	3	2
77	72	2012.09.08	17	2
78	62	2012.09.08	6	1
79	5	2012.09.08	14	1
80	78	2012.09.08	25	1
81	52	2012.09.08	28	1
82	3	2012.09.08	14	2
83	48	2012.09.08	5	1
84	21	2012.09.08	16	2
85	42	2012.09.08	2	2
86	92	2012.09.08	20	2
87	21	2012.09.08	18	1
88	17	2012.09.08	23	1
89	70	2012.09.08	25	1
90	92	2012.09.08	16	2
91	88	2012.09.08	22	1
92	19	2012.09.08	12	2
93	1	2012.09.08	8	2
94	87	2012.09.08	20	2
95	80	2012.09.08	26	2
96	57	2012.09.08	9	1
97	79	2012.09.08	7	2
98	55	2012.09.08	1	1
99	46	2012.09.08	25	1
100	67	2012.09.08	13	1
101	27	2012.09.08	21	2
102	40	2012.09.08	23	1
103	64	2012.09.08	23	1
104	85	2012.09.08	28	2
105	18	2012.09.08	19	1
106	3	2012.09.08	26	1
107	75	2012.09.08	2	1
108	65	2012.09.09	30	1
109	5	2012.09.09	28	2
110	44	2012.09.09	1	2
111	3	2012.09.10	17	1
112	3	2012.09.10	10	2
113	79	2012.09.10	10	1
114	66	2012.09.10	28	1
115	17	2012.09.10	13	1
116	61	2012.09.10	17	2
117	56	2012.09.10	6	1
118	44	2012.09.10	29	2
119	72	2012.09.10	3	2
120	80	2012.09.10	11	1
121	39	2012.09.10	18	1
122	56	2012.09.10	10	2
123	82	2012.09.10	30	1
124	25	2012.09.10	19	1
125	76	2012.09.10	14	1
126	70	2012.09.10	23	2
127	75	2012.09.10	5	1
128	7	2012.09.10	17	2
129	92	2012.09.10	29	1
130	10	2012.09.10	2	2
131	20	2012.09.10	13	1
132	74	2012.09.10	26	2
133	35	2012.09.10	22	1
134	10	2012.09.10	17	1
135	19	2012.09.10	12	1
136	48	2012.09.10	12	2
137	27	2012.09.10	17	1
138	86	2012.09.10	26	1
139	38	2012.09.10	29	1
140	44	2012.09.10	27	1
141	38	2012.09.10	18	1
142	62	2012.09.10	7	2
143	6	2012.09.10	5	1
144	86	2012.09.10	22	2
145	52	2012.09.10	20	2
146	70	2012.09.10	6	1
147	37	2012.09.10	2	1
148	20	2012.09.10	26	1
149	3	2012.09.10	2	2
150	86	2012.09.10	23	1
151	29	2012.09.10	12	2
152	57	2012.09.11	24	2
153	85	2012.09.11	5	1
154	45	2012.09.11	27	2
155	2	2012.09.11	1	2
156	78	2012.09.11	29	2
157	67	2012.09.11	12	1
158	30	2012.09.11	24	1
159	48	2012.09.11	6	2
160	15	2012.09.11	11	1
161	9	2012.09.11	20	1
162	53	2012.09.11	15	1
163	63	2012.09.11	11	1
164	66	2012.09.11	20	1
165	60	2012.09.11	14	1
166	2	2012.09.11	4	1
167	30	2012.09.11	15	1
168	39	2012.09.11	11	2
169	18	2012.09.11	27	1
170	83	2012.09.11	26	1
171	81	2012.09.11	13	1
172	4	2012.09.11	18	1
173	92	2012.09.11	16	1
174	13	2012.09.11	20	1
175	38	2012.09.11	19	2
176	54	2012.09.11	4	1
177	7	2012.09.11	4	2
178	74	2012.09.11	21	2
179	2	2012.09.11	16	2
180	65	2012.09.11	12	1
181	10	2012.09.11	21	1
182	39	2012.09.11	3	2
183	33	2012.09.11	11	1
184	21	2012.09.11	10	2
185	84	2012.09.11	25	1
186	84	2012.09.11	29	1
187	64	2012.09.11	10	1
188	89	2012.09.11	9	1
189	53	2012.09.11	3	1
190	30	2012.09.11	17	1
191	4	2012.09.12	8	1
192	70	2012.09.12	16	1
193	57	2012.09.12	19	1
194	44	2012.09.12	17	1
195	1	2012.09.12	3	1
196	41	2012.09.12	21	1
197	3	2012.09.12	7	1
198	2	2012.09.12	10	2
199	89	2012.09.12	10	1
200	51	2012.09.12	22	1
201	6	2012.09.12	11	1
202	83	2012.09.12	21	1
203	92	2012.09.12	15	1
204	88	2012.09.12	6	1
205	6	2012.09.12	27	1
206	2	2012.09.12	11	1
207	43	2012.09.12	27	1
208	53	2012.09.12	26	1
209	39	2012.09.12	1	1
210	21	2012.09.12	13	1
211	34	2012.09.12	8	1
212	57	2012.09.12	4	1
213	30	2012.09.12	25	1
214	8	2012.09.12	30	2
215	61	2012.09.12	19	1
216	4	2012.09.12	11	1
217	5	2012.09.12	6	1
218	48	2012.09.12	30	1
219	53	2012.09.12	28	2
220	78	2012.09.12	4	1
221	51	2012.09.12	12	1
222	9	2012.09.12	25	1
223	55	2012.09.12	15	1
224	41	2012.09.12	6	1
225	71	2012.09.12	17	1
226	75	2012.09.12	6	1
227	85	2012.09.12	9	2
228	14	2012.09.12	14	1
229	42	2012.09.12	5	2
230	76	2012.09.12	13	1
231	45	2012.09.12	27	1
232	75	2012.09.12	4	1
233	52	2012.09.12	26	1
234	56	2012.09.12	22	1
235	31	2012.09.12	26	1
236	36	2012.09.12	29	1
237	62	2012.09.12	19	1
238	13	2012.09.12	17	1
239	82	2012.09.12	3	1
240	16	2012.09.12	17	1
241	87	2012.09.12	9	1
242	35	2012.09.12	16	2
243	23	2012.09.12	14	1
244	46	2012.09.12	2	1
245	67	2012.09.12	29	2
246	33	2012.09.12	4	2
247	34	2012.09.12	20	2
248	84	2012.09.12	1	1
249	47	2012.09.12	1	2
250	37	2012.09.12	14	1
251	30	2012.09.12	6	2
252	28	2012.09.12	6	2
253	53	2012.09.12	13	2
254	57	2012.09.12	25	2
255	11	2012.09.12	3	1
256	77	2012.09.12	13	2
257	73	2012.09.12	9	2
258	91	2012.09.12	20	2
259	8	2012.09.12	2	2
260	40	2012.09.12	22	2
261	67	2012.09.12	26	2
262	63	2012.09.12	6	2
263	38	2012.09.12	15	1
264	48	2012.09.12	8	2
265	75	2012.09.12	26	1
266	69	2012.09.12	13	2
267	1	2012.09.12	8	1
268	87	2012.09.12	13	1
269	28	2012.09.12	3	1
270	8	2012.09.12	11	2
271	73	2012.09.12	24	1
272	8	2012.09.12	6	1
273	77	2012.09.12	19	1
274	41	2012.09.12	1	1
275	22	2012.09.12	20	1
276	81	2012.09.12	3	1
277	28	2012.09.12	21	1
278	8	2012.09.12	23	1
279	76	2012.09.12	10	1
280	40	2012.09.12	5	2
281	69	2012.09.12	29	1
282	55	2012.09.12	19	1
283	41	2012.09.12	19	1
284	43	2012.09.12	22	1
285	47	2012.09.12	27	1
