id	filmid	szemelyid	megnevezes
1	77	416	színész
2	139	1510	operatőr
5	95	1006	színész
6	7	1111	színész
7	38	1347	színész
8	132	543	színész
9	396	1478	színész
10	466	1117	színész
11	385	1512	színész
12	349	1512	színész
13	109	1537	színész
14	55	1223	színész
16	57	428	rendező
17	353	1077	színész
19	57	1552	színész
20	332	709	forgatókönyvíró
21	104	361	színész
22	422	822	színész
25	441	1733	színész
26	24	618	színész
27	32	715	színész
28	387	177	színész
30	413	1353	színész
31	443	1225	operatőr
32	44	1733	színész
33	163	558	színész
35	606	1733	színész
36	12	1190	színész
37	102	1625	forgatókönyvíró
39	309	320	forgatókönyvíró
41	150	1579	operatőr
42	81	416	színész
43	193	388	színész
44	429	1752	színész
45	128	802	színész
46	316	360	színész
47	306	204	színész
48	5	1537	színész
50	315	564	színész
51	55	1347	színész
52	206	435	színész
54	21	1101	színész
55	356	1077	színész
56	75	219	színész
57	205	801	színész
61	40	694	színész
63	57	968	színész
64	436	1020	színész
65	58	1415	színész
68	179	968	színész
70	467	584	színész
72	356	766	színész
73	353	1626	színész
75	45	132	színész
76	12	943	színész
78	82	862	színész
79	97	1783	színész
80	423	1537	színész
81	82	1077	színész
82	352	17	rendező
83	31	1192	színész
84	429	1733	színész
85	204	121	színész
86	332	233	színész
89	26	898	színész
90	173	1430	színész
91	408	1331	színész
92	146	850	színész
93	123	1225	operatőr
97	337	243	színész
99	443	1636	színész
102	409	1478	színész
104	23	61	színész
106	120	1176	színész
108	372	1060	színész
109	344	248	színész
110	161	1138	színész
111	319	183	színész
112	74	1704	színész
114	55	694	színész
115	357	1210	színész
116	365	278	színész
118	309	1472	színész
119	142	1161	színész
120	308	1733	színész
121	147	461	színész
122	101	676	rendező
123	308	842	rendező
124	305	709	forgatókönyvíró
125	68	955	színész
126	99	422	operatőr
128	439	17	forgatókönyvíró
129	404	1424	színész
130	442	1739	színész
131	310	883	színész
132	462	694	színész
134	119	1274	színész
135	17	1225	operatőr
138	310	602	színész
139	303	862	színész
140	87	413	operatőr
142	8	405	forgatókönyvíró
143	164	1333	színész
145	425	602	színész
146	35	352	színész
147	372	847	színész
148	63	1478	színész
149	148	822	színész
152	41	744	színész
153	106	1082	színész
154	191	352	színész
155	183	195	színész
156	464	1424	színész
157	425	715	színész
159	339	1333	színész
161	54	836	színész
163	97	822	színész
164	21	764	színész
165	30	127	színész
167	423	278	színész
171	367	405	forgatókönyvíró
172	185	1616	színész
