id	cim	gyartas	hossz	bemutato	youtube
2	Afrikai vőlegény	1944	80	1944-01-31	1
3	Akit elkap az ár	1941		1942-01-15	0
4	Alkalom	1942	76	1942-10-26	1
5	András	1941		1941-04-29	0
6	Annamária	1942	84	1943-02-01	0
7	Az aranyember	1936	97	1936-12-18	1
8	Azurexpress	1938	70	1938-10-14	1
9	Áll a bál	1939	97	1939-09-28	1
10	Álomkeringő	1942	86	1943-02-11	1
11	Bajtársak	1942	79	1942-12-01	0
12	Balkezes angyal	1940	77	1941-04-12	1
13	Beáta és az ördög	1940	89	1941-05-07	0
14	Behajtani tilos!	1941	81	1942-02-12	1
15	Bercsényi huszárok	1939	73	1940-01-04	1
16	A beszélő köntös	1941	84	1942-02-21	1
17	Bob herceg	1941	82	1941-11-20	1
18	Boldoggá teszlek	1944	73		1
19	A bor	1933	106	1933-09-28	0
20	Borcsa Amerikában	1938	78	1938-08-16	1
21	Bűnös vagyok	1941	97	1942-06-03	1
22	Café Moszkva	1935	68	1936-02-13	1
23	Címzett ismeretlen	1935	81	1935-12-21	1
24	Csalódás	1942	77	1943-03-26	1
25	Csákó és kalap	1941	57	1941-08-21	1
26	Cserebere	1940	81	1940-11-13	1
27	Csókolj meg, édes!	1932	102	1932-03-05	1
28	Dankó Pista	1940	88	1941-01-16	1
29	Döntő pillanat	1938	68	1938-03-20	1
30	dr. Kovács István	1941	94	1942-04-04	0
31	Duna-parti randevú	1936	64	1936-12-23	1
32	Egy asszony visszanéz	1941	109	1942-12-01	0
33	Egy csók és más semmi	1940	69	1941-01-15	1
34	Egy éj Velencében	1933	69	1934-01-12	1
35	Egy éjszaka Erdélyben	1941	79	1941-11-19	1
36	Egy lány elindul	1937	72	1937-12-23	1
37	Egy szoknya, egy nadrág	1943	75	1943-04-21	1
38	Eladó birtok	1940	75	1941-01-03	1
39	Elkésett levél	1940	68	1941-03-20	1
40	Az ellopott szerda	1933	73	1933-12-29	1
41	Elnémult harangok	1940	91	1941-02-27	0
43	Erdélyi kastély	1940	71	1940-03-07	1
44	Erzsébet királyné	1940	89	1940-09-05	1
45	Európa nem válaszol	1941	93	1941-03-19	1
46	Ez a villa eladó	1935	75	1935-04-10	1
47	Ez történt Budapesten	1944	84	1944-06-05	1
48	Édes ellenfél	1941	81	1941-05-22	1
49	Éjféli gyors	1942	66	1943-06-25	1
50	Éjfélre kiderül	1942	76	1942-08-13	1
51	Az éjszaka lánya	1942	77	1943-03-16	1
52	Életre ítéltek!	1941	93	1941-11-17	1
53	Az én lányom nem olyan	1937	78	1937-11-14	1
54	És a vakok látnak	1943	81	1944-03-30	1
55	Fekete gyémántok	1938	77	1938-04-14	1
56	Féltékenység	1943	68	1943-09-23	1
57	Fény és árnyék	1943	91	1943-12-22	1
58	Férfihűség	1942	95	1942-10-23	1
59	A férfi mind őrült	1937	83	1937-09-29	1
60	Fizessen nagysád!	1937	65	1937-03-11	1
61	Fráter Lóránd	1942	62	1942-05-06	1
62	Fűszer és csemege	1940	74	1940-01-29	1
63	Gentryfészek	1941	75	1942-09-11	1
64	Gorodi fogoly	1940	62	1940-11-07	1
65	Göre Gábor visszatér	1940	75	1940-03-13	1
