id	nev	nem
3	Gertler Viktor	férfi
7	Fekete Ferenc	férfi
11	Bán Frigyes	férfi
13	Bata Erzsi	nő
17	Martonffy Emil	férfi
18	B. Nemes András	férfi
22	Vizy Béla	férfi
24	Lukács Margit	nő
25	Karády Katalin	nő
28	Patkós György	férfi
29	Zsabka Kálmán	férfi
30	Pressburger Imre	férfi
33	Delly Ferenc	férfi
38	Kőváry Gyula	férfi
39	Engel György	férfi
40	Tompa Béla	férfi
45	Bolváry Géza	férfi
46	Szörényi Éva	nő
50	Lórán Lenke	nő
53	Donszky Olga	nő
56	Ádám Klári	nő
58	Fekete Pál	férfi
59	Vitéz Miklós	férfi
60	Kovács Gusztáv	férfi
61	Justh Gyula	férfi
62	Gárdonyi Lajos	férfi
68	Sugár Károly	férfi
80	Tamás István	férfi
86	Zombory Mercedesz	nő
89	Lázár István ifj.	férfi
90	Thurzó Gábor	férfi
101	Csiky Mária	nő
102	Balogh Béla	férfi
103	Kellér Dezső	férfi
104	Gabányi László	férfi
105	Bibó Lajos	férfi
106	Eöry Kató	nő
109	Ágay Irén	nő
110	Christian Angela	nő
111	Somló Endre	férfi
112	Simor Erzsi	nő
118	Gaál Franciska	nő
121	Sárossy Andor	férfi
122	Gobbi Hilda	nő
123	Dulovits Jenő	férfi
125	Szellay Alice	nő
126	Halász Géza	férfi
127	Terney Gyula	férfi
131	Tóth Miklós	férfi
132	Kiss Ferenc	férfi
136	Kerényi Zoltán	férfi
137	Szabó Ilonka	nő
151	Várkonyi Zoltán	férfi
152	Rodriguez Endre	férfi
153	Ungváry Gyula	férfi
156	Somogyváry Gyula	férfi
159	György István	férfi
170	Dolecskó Béla	férfi
171	Tahy Anna Mária	nő
177	Dajka Margit	nő
183	Rákosi Szidi	nő
188	Dénes György	férfi
193	Bozi Ferenc	férfi
195	Sugár Lajos	férfi
201	Siklóssy Pál	férfi
202	Adorján Éva	nő
204	Danis Jenő	férfi
205	Berend Lajos	férfi
206	Donáth Ági	nő
207	Kertay Lili	nő
213	Szabó Klári	nő
219	Hajmássy Lajos	férfi
220	Ruttkay Iván	férfi
221	Rajnay Gábor	férfi
222	Harczos Irén	nő
227	Biller Irén	nő
232	Kardos László	férfi
233	Ungvári László	férfi
234	Horváth (II.) Jenő	férfi
237	Hille Heinz	férfi
243	Kökény Ilona	nő
246	Makay Margit	nő
248	Mály Gerő	férfi
251	Vajda László	férfi
252	Lajthay Károly	férfi
254	Pásztor Béla	férfi
257	Raffay Erzsi	nő
260	Magda Kolcsakova	nő
262	Kőmíves Sándor	férfi
267	Szegedi Szabó István	férfi
278	Greguss Zoltán	férfi
280	Kopácsy Margit	nő
281	Pánczél Lajos	férfi
289	Németh Antal	férfi
294	Tasnády Fekete Mária	nő
298	Daróczy József	férfi
299	Lázár Mária	nő
300	Feleki Sári	nő
301	Stella Adorján	férfi
303	Perczel Zita	nő
304	Szakáts Zoltán	férfi
305	Sitkey Irén	nő
311	Hidassy Sándor	férfi
313	Herczeg Jenő	férfi
314	Lánczy Margit	nő
316	Nagy Alice	nő
318	Bogdán László	férfi
320	Bánky Viktor	férfi
321	Erdélyi Lili	nő
327	Pataky Jenő	férfi
329	Zalabéri Horváth János	férfi
330	Bihari Alajos	férfi
332	Palotai Erzsi	nő
337	Gyöngyössy Erzsébet	nő
340	Tasnády Ilona	nő
342	Lázár Gida	nő
344	Goll Bea	nő
345	Venczell Béla	férfi
347	Horváth Tivadar	férfi
350	Farkas Ferenc	férfi
352	Kelemen Lajos	férfi
357	Szuchy Emil	férfi
359	Szántó Armand	férfi
360	Földessy Géza	férfi
361	Borsovai Lengyel László	férfi
362	Lándor Tivadar	férfi
365	Bókay János	férfi
372	Keleti László	férfi
373	Latabár Árpád id.	férfi
375	Kalmár László	férfi
379	Ujlaky László	férfi
384	Rubinstein Erna	nő
