halid	tajnev
2	ángolna
2	ángvilla
2	síkos ángolna
3	bagoly
3	bagókeszeg
3	karikakeszeg
3	száp
3	szápakeszeg
3	szápókeszeg
4	bálind
4	bálint
4	balling
4	baing
4	baksa
4	bolyín
4	boín
4	buczó
4	búczókeczeg
4	csabak
4	fenekeszeg
4	jászkeszeg
4	kapókeszeg
4	nagypénteki hal
4	nagy-szélhal
4	nyilkeszeg
4	őn
4	őnhal
4	őnkeszeg
4	őny
4	őnyhal
4	pőlind
4	ragadozó küsz
4	ragadozó őn
4	szellőkeszeg
4	torzsáskeszeg
4	vadászkeszeg
4	vezérhal
4	vizenjárókeszeg
5	béka-hal
5	boti
5	botos
5	butikóhal
5	ebhal
5	kölönte
5	kolty
5	kophal
5	kopsa
5	kutyahal
5	ördöghal
6	nyálkás czompó
6	czigányhal
6	gyászkeszeg
6	haldoktor
6	sárhal
6	tathal
6	vargahal
6	varjúhal
6	zöldike
7	köz-csuka
7	bugyli (növendék csuka)
7	ezüstcsuka
8	dévér
8	dévértkeszeg
8	bárdkeszeg
8	dorzsmáskeszeg
8	fahegykeszeg
8	keszege
8	feketeszárnyúkeszeg
8	lapátkeszeg
8	lapiska
8	lapkó
8	bárdkeszeg
8	laposka
8	lapos keszeg
8	lepényhal
8	platyicza
8	platyika
8	platyka
8	pünkösdkeszeg
8	széleskeszeg
8	szélhajtókeszeg
8	tyiszága
8	tyiszaga
8	Szent György-keszeg
8	vereskeszeg
8	véreskeszeg
10	domi
10	domolykó
10	domorkó
10	egérfogó
10	fejérkeszeg
10	fejeshal
10	fejesponty
10	jácz
10	jász
10	jászkeszeg
10	jászponty
10	jáz
10	keling
10	lógga
10	nagyfejű hal
10	nagyfejű keszeg
10	száp
10	sütő
10	telea
10	telen
10	telény
10	tomolykó
10	tömpekeszeg
10	törő
12	göbhal
12	gobhal
12	goboly
12	göcze
12	grúz
12	gulúz
12	hajas-kövihal
12	héjjas-kövihal
12	kő-hal
12	küllő
12	sármászó szaka
12	tergélye
13	cselle
13	csetni
13	egri
13	egrihal
13	egriponty
13	pelehal
13	putni
13	tökhal
14	gárdakeszeg
14	balatoni hering
14	balatoni héring
14	gallakeszeg
14	gárdakeszeg
14	gargya
14	gorda
14	görbepaducz
14	görbepaduc
14	gyargya
14	gyurgya
14	héringhal
14	hosszúkeszeg
14	karda
14	kardakeszeg
14	kardkeszeg
14	kardos
14	kaszakeszeg
14	korda
14	lánakeszeg
14	látott hal
14	lannakeszeg
14	sugárkardus
14	szabó
14	szabóhal
14	sugár kardos
14	vágóhal
15	leső harcsa
15	parasztfaló
15	pozsárharcsa
15	pumaharcsa
15	sárgaharcsa
15	harcsapundra (kis harcsa)
17	ónos jász
17	ónkeszeg
20	kő-süllő
20	bandár
20	tarkasüllő
20	tótsüllő
20	vadsüllő
17	ezüst kárász
17	kövi kárász
17	géb
17	gibbélió kárász
17	ezüst kínai kárász
18	baszárkeszeg
18	bolén
18	ezüstös balin
18	gyöngyhal
18	jeges keszeg
18	lánakeszeg
