az	muaz	ar	beszerzes
1	10	1459	2008.11.21
2	20	1123	2007.09.22
3	92	1242	2008.09.12
4	94	911	2005.06.11
5	51	1376	2009.02.15
6	71	909	2006.04.23
7	59	1461	2008.03.15
8	72	1341	2008.10.21
9	100	1188	2004.12.01
10	47	882	2008.12.04
11	103	1173	2006.11.02
12	33	787	2004.06.22
13	51	905	2005.02.03
14	1	967	2007.08.25
15	88	1346	2008.12.23
16	84	1373	2008.04.07
17	38	1001	2004.02.29
18	94	872	2009.02.10
19	61	1015	2007.08.17
20	7	1358	2004.06.12
21	84	1157	2004.05.31
22	92	937	2007.11.09
23	55	1463	2007.02.28
24	5	914	2008.01.12
25	41	757	2006.03.25
26	32	1054	2005.11.11
27	18	984	2006.12.12
28	20	1263	2005.05.18
29	18	1404	2005.02.10
30	11	1496	2008.05.06
31	25	1426	2004.05.27
32	83	1412	2004.08.06
33	95	859	2007.11.28
34	75	1186	2007.11.12
35	44	1112	2005.08.26
36	66	708	2007.10.30
37	92	772	2004.08.31
38	56	1310	2008.04.20
39	24	1465	2005.12.09
40	81	1057	2005.03.04
41	74	958	2004.11.21
42	69	1215	2009.03.26
43	24	765	2007.04.06
44	6	1156	2007.01.03
45	45	1124	2004.10.11
46	35	1180	2005.06.07
47	8	773	2008.04.18
48	28	878	2005.08.18
49	39	1064	2009.02.25
50	57	992	2006.04.03
51	82	1183	2006.10.29
52	37	925	2008.05.17
53	34	824	2009.02.18
54	62	1142	2004.01.28
55	50	1033	2008.10.29
56	31	1004	2005.03.14
57	38	721	2008.11.08
58	47	1403	2008.05.31
59	37	1090	2006.05.12
60	38	1306	2005.01.02
61	56	725	2006.12.12
62	18	1239	2007.02.16
63	37	1230	2009.03.21
64	69	1164	2008.07.28
65	48	1301	2005.01.04
66	99	1442	2005.02.05
67	42	909	2008.03.18
68	49	1148	2006.02.24
69	76	1402	2006.07.05
70	60	1448	2006.12.31
71	65	861	2006.09.08
72	105	1312	2007.08.13
73	82	1285	2008.02.24
74	37	874	2007.09.18
75	2	903	2005.10.12
76	13	949	2006.06.13
77	40	974	2006.12.15
78	107	1286	2005.03.15
79	109	954	2007.02.25
80	42	973	2004.11.15
81	61	1155	2005.04.12
82	5	724	2004.07.05
83	89	1027	2006.12.06
84	106	1235	2004.07.16
85	20	1467	2004.11.24
86	33	927	2007.05.02
87	77	753	2008.06.29
88	49	1186	2007.09.08
89	53	739	2005.01.10
90	85	915	2008.07.24
