hallgatoid	vizsgaid	jeldatum	ledatum	igazolt	jegy
DT.3892	29	2006.11.29			1
SB.1666	190	2006.11.29			1
KL.3512	438	2006.11.30			4
SK.6666	147	2006.11.30			1
SA.3924	329	2006.12.01			5
TT.9111	394	2006.12.01			3
PK.8359	39	2006.12.01			2
HF.1310	140	2006.12.02	2006.12.05		
KK.6853	256	2006.12.03			4
NF.3575	64	2006.12.04			3
SC.0593	242	2006.12.04			2
FI.7903	264	2006.12.04			1
HÁ.9604	356	2006.12.04			1
CL.2002	65	2006.12.05			1
WT.5063	189	2006.12.05			1
PK.9395	175	2006.12.05			2
BA.7773	346	2006.12.05			3
MP.4948	264	2006.12.05	2006.12.07		
PA.3366	103	2006.12.05			
LE.1664	54	2006.12.05			2
BÁ.5107	442	2006.12.05			2
LN.4151	252	2006.12.06	2006.12.09		
SL.7295	341	2006.12.06		-1	
HR.5369	369	2006.12.06			1
KP.1420	361	2006.12.06			4
NL.0666	6	2006.12.06	2006.12.21		
UD.6021	120	2006.12.06			1
SP.1261	416	2006.12.06			4
MZ.6513	223	2006.12.07			1
KG.6854	61	2006.12.07	2006.12.11		
KZ.0395	134	2006.12.07			1
HD.5835	65	2006.12.07			1
SM.9865	376	2006.12.07			1
BF.9222	400	2006.12.07			2
SL.7295	426	2006.12.08			3
SG.2482	252	2006.12.08			3
SG.4287	367	2006.12.08			4
PC.4269	220	2006.12.08			5
GA.5549	18	2006.12.08		-1	
HR.5369	97	2006.12.08			2
HT.2648	165	2006.12.08	2006.12.19		
BF.6471	298	2006.12.08			2
AG.3206	230	2006.12.08			
PB.2815	357	2006.12.08			2
BJ.9084	135	2006.12.08			2
SP.7024	354	2006.12.09			
JE.5179	389	2006.12.09			1
ZT.0107	89	2006.12.09			1
BÁ.5302	289	2006.12.09	2006.12.17		
NÁ.8086	201	2006.12.09			1
ZT.0107	382	2006.12.10			1
BÁ.5302	112	2006.12.10			
BB.4513	418	2006.12.10			1
VA.0359	127	2006.12.10			5
DT.2128	356	2006.12.10		-1	
IB.2626	59	2006.12.10			3
KT.3375	34	2006.12.10			1
BJ.6683	267	2006.12.11	2006.12.13		
FI.4848	256	2006.12.11			2
MK.5059	211	2006.12.11	2006.12.15		
RK.5679	55	2006.12.11			4
BB.6597	156	2006.12.11			1
TT.5109	69	2006.12.11			4
FI.2594	138	2006.12.11	2006.12.17		
ET.9171	421	2006.12.11			2
VK.5984	395	2006.12.12			3
NG.2881	97	2006.12.12	2006.12.24		
SP.3373	143	2006.12.12	2006.12.13		
MK.6085	433	2006.12.12	2006.12.16		
BV.6067	361	2006.12.12			1
VK.9974	366	2006.12.12		-1	
SG.2482	375	2006.12.13	2006.12.15		
KG.2387	174	2006.12.13			1
FI.0444	411	2006.12.13			4
NJ.5694	278	2006.12.13	2006.12.14		
NK.4348	204	2006.12.13			3
FL.5093	171	2006.12.13			1
MP.1548	23	2006.12.13			1
NF.3575	249	2006.12.13		-1	
KD.6239	371	2006.12.13			
OB.8264	241	2006.12.13			3
DP.6361	141	2006.12.13	2006.12.13		
FG.2306	40	2006.12.13		-1	
VF.7140	333	2006.12.13			3
SO.1532	60	2006.12.13			1
SM.0077	250	2006.12.13			1
KP.2242	34	2006.12.13			1
BL.2288	297	2006.12.13			3
BR.7690	368	2006.12.13			2
LD.8285	145	2006.12.13			3
BL.2493	426	2006.12.13			3
NS.0091	405	2006.12.13			2
NÁ.8086	32	2006.12.13		-1	
BL.1963	300	2006.12.13			1
KA.2208	59	2006.12.14			3
JA.0000	148	2006.12.14			2
FI.0444	250	2006.12.14	2006.12.15		
PC.4269	26	2006.12.14	2006.12.16		
HR.4421	393	2006.12.14			2
SZ.2133	267	2006.12.14			2
PT.6509	398	2006.12.14			
MK.6085	421	2006.12.14			4
MB.3857	421	2006.12.14		-1	
HF.1310	40	2006.12.14	2006.12.18		
HF.1310	243	2006.12.14	2006.12.14		
VK.6810	65	2006.12.14			3
SB.4943	317	2006.12.14		-1	
RA.8864	154	2006.12.14	2006.12.16		
FG.2306	97	2006.12.14	2006.12.16		
BR.7944	180	2006.12.14			3
JT.5373	171	2006.12.14			1
ZT.0107	280	2006.12.14		-1	
KD.0506	48	2006.12.14			4
LT.9524	44	2006.12.14			3
VT.9241	392	2006.12.14		-1	
VT.9241	222	2006.12.14			3
PB.2815	351	2006.12.14	2006.12.17		
SG.0052	34	2006.12.14			1
MK.5059	260	2006.12.14			3
DZ.3353	191	2006.12.14			3
BT.9896	263	2006.12.14	2006.12.16		
FZ.2691	336	2006.12.14			3
DP.8019	267	2006.12.14			1
DT.2128	280	2006.12.14			3
PG.1224	219	2006.12.14		-1	
SF.4730	440	2006.12.14	2006.12.22		
KR.1250	191	2006.12.14			
JZ.1385	51	2006.12.14			5
PL.7005	375	2006.12.14			1
MN.5413	288	2006.12.14			2
BR.7690	95	2006.12.14			2
VB.8083	148	2006.12.14			2
HN.3762	234	2006.12.14			1
KG.6963	233	2006.12.14		-1	
JZ.0375	223	2006.12.14		-1	
FB.3081	435	2006.12.14	2006.12.15		
TD.0542	153	2006.12.14			2
SK.8056	204	2006.12.14		-1	
ML.8755	34	2006.12.14			2
KK.6508	142	2006.12.15			3
VK.5984	326	2006.12.15	2006.12.17		
FS.9718	273	2006.12.15			1
FS.9718	134	2006.12.15			3
PR.7953	68	2006.12.15			4
HA.5132	315	2006.12.15	2006.12.15		
TZ.2930	253	2006.12.15			1
BG.0504	141	2006.12.15			1
FB.9611	229	2006.12.15			1
NJ.5694	286	2006.12.15			4
SP.3373	172	2006.12.15	2006.12.17		
GD.2662	289	2006.12.15			1
MP.1548	182	2006.12.15	2006.12.19		
HZ.1789	297	2006.12.15	2006.12.18		
KG.6854	74	2006.12.15	2006.12.19		
FR.6982	287	2006.12.15			1
LZ.5815	215	2006.12.15			3
KR.7990	384	2006.12.15			4
BO.5754	242	2006.12.15			
LZ.3412	301	2006.12.15			2
UI.5361	311	2006.12.15	2006.12.15		
ST.2390	421	2006.12.15	2006.12.17		
EZ.8360	202	2006.12.15			1
KZ.8343	76	2006.12.15			3
KK.9708	431	2006.12.15			1
MD.7267	411	2006.12.15	2006.12.18		
KE.9613	72	2006.12.15			
KF.5885	320	2006.12.15			3
BJ.9084	99	2006.12.15			1
TI.6284	85	2006.12.15	2006.12.16		
