id	datum	targy
1	2007.01.19	Adatbázisok elmélete
2	2007.01.16	Szoftverfejlesztés
3	2006.12.20	Webtervezés
4	2006.12.28	Szoftverfejlesztés
5	2007.01.17	Fordítóprogramok
6	2006.12.22	Fordítóprogramok
7	2006.12.20	Logikai programozás
8	2007.01.18	Rendszerfejlesztés
9	2007.01.16	Tesztelési módszerek
10	2006.12.22	Assembly programozás
11	2007.01.15	Logikai programozás
12	2006.12.27	Optimalizálás
13	2007.01.11	Szoftverfejlesztés
14	2007.01.08	Operációs rendszerek
15	2007.01.26	Rendszerfejlesztés
17	2007.01.05	Dinamikus logika
18	2007.01.15	Formális nyelvek
20	2007.01.17	Szoftverfejlesztés
22	2007.01.05	Operációkutatás
23	2006.12.20	Optimalizálás
24	2007.01.18	Gépi tanulási módszerek
25	2007.01.05	Algoritmusok és adatszerkezetek
26	2007.01.25	Irányítástechnika
27	2006.12.20	Formális nyelvek
29	2006.12.28	Gépi tanulási módszerek
32	2007.01.22	Gépi tanulási módszerek
33	2007.01.11	Irányítástechnika
34	2007.01.17	Operációkutatás
35	2007.01.23	Fordítóprogramok
36	2007.01.22	Adatbázisok
37	2007.01.04	Dinamikus logika
38	2006.12.28	Alkalmazás fejlesztés
39	2006.12.21	Rendszerfejlesztés
40	2007.01.24	Logika és alkalmazásai
41	2007.01.26	Operációkutatás
42	2007.01.03	Logika és alkalmazásai
43	2007.01.25	Adatbázisok
44	2007.01.16	Fordítóprogramok
45	2007.01.09	Operációs rendszerek
46	2007.01.12	Assembly programozás
47	2006.12.21	Programozási módszerek
48	2007.01.23	Adatbázisok elmélete
49	2007.01.23	Operációkutatás
50	2006.12.27	Logikai programozás
51	2007.01.15	Algoritmusok és adatszerkezetek
52	2007.01.02	Gazdaságinformatikai rendszerek
54	2007.01.03	Algoritmusok és adatszerkezetek
55	2006.12.28	Adatbázisok elmélete
56	2006.12.27	Irányítástechnika
58	2007.01.23	Operációs rendszerek
59	2007.01.25	Irányítástechnika
60	2007.01.03	Dinamikus logika
61	2007.01.19	Optimalizálás
62	2007.01.26	Gazdaságinformatikai rendszerek
63	2006.12.28	Mesterséges intelligencia
64	2007.01.23	Operációkutatás
65	2006.12.29	Gráfelméleti algoritmusok
66	2007.01.18	Digitális képfeldolgozás
67	2007.01.15	Mesterséges intelligencia
68	2007.01.12	Szoftvertesztelés alapjai
69	2007.01.24	Nemlineáris programozás
70	2007.01.05	Számítógép hálózatok
71	2007.01.08	Assembly programozás
72	2007.01.22	Algoritmusok és adatszerkezetek
73	2007.01.15	Fordítóprogramok
74	2006.12.20	Gépi tanulási módszerek
75	2007.01.02	Mesterséges intelligencia
76	2006.12.27	Szoftvertesztelés alapjai
77	2007.01.22	Rendszerfejlesztés
78	2006.12.19	Gépi tanulási módszerek
79	2007.01.08	Optimalizálás
80	2007.01.15	Térinformatika
81	2006.12.29	Szoftverfejlesztés
