eloadasaz	regisztraloaz
9	29
1	170
2	35
7	111
8	48
24	84
10	127
6	136
3	209
7	62
11	91
8	143
20	8
4	79
21	195
3	185
21	105
3	56
16	209
9	233
20	80
20	262
19	35
3	162
18	183
14	205
14	90
22	236
14	109
9	100
9	120
18	151
12	255
15	62
21	221
17	150
6	176
11	227
2	148
18	92
1	259
18	49
2	97
21	101
22	122
14	11
11	192
1	125
7	125
24	109
11	236
23	23
6	178
5	19
4	192
9	127
17	208
14	66
3	267
23	268
17	24
8	85
1	127
11	111
6	177
13	8
20	20
9	76
8	52
19	136
16	129
20	201
17	174
8	172
4	187
10	60
24	182
20	107
22	103
8	160
5	267
13	218
11	130
21	202
10	140
1	248
17	260
3	234
15	89
17	87
7	13
5	232
24	30
13	60
14	166
6	229
21	238
16	139
17	115
3	95
8	228
15	219
1	68
3	98
9	235
24	244
9	43
2	42
5	48
23	173
14	202
12	105
22	39
6	124
17	197
10	174
21	268
6	15
9	2
10	156
17	184
21	1
1	226
17	8
5	223
14	251
17	199
4	265
4	49
17	153
12	183
20	162
20	207
11	49
5	212
4	6
12	215
8	220
18	220
16	250
17	20
15	38
12	263
23	163
19	205
23	41
18	141
7	50
20	195
23	91
12	250
20	123
1	263
21	102
4	34
10	63
4	202
15	251
15	214
21	177
13	74
21	205
16	57
20	181
6	38
3	190
5	40
10	180
22	142
2	10
20	221
9	261
8	246
16	249
14	128
24	146
12	155
20	242
8	163
6	206
12	82
16	178
10	55
14	17
7	102
14	50
9	60
3	89
24	48
20	156
20	85
1	73
19	217
11	28
24	252
16	192
23	197
18	239
12	124
9	21
14	27
22	89
14	163
18	194
9	175
15	243
20	43
9	102
7	247
21	37
6	164
17	74
6	31
16	136
17	107
1	209
22	178
18	226
3	224
23	71
14	147
20	186
7	120
10	214
23	37
8	9
7	206
17	109
8	23
14	191
21	119
11	215
1	122
23	168
10	247
6	65
20	198
10	165
7	103
22	160
17	138
20	93
21	252
6	57
19	227
23	256
1	189
10	126
11	11
23	246
19	193
13	11
12	229
19	235
22	181
18	185
16	171
19	117
22	79
7	9
19	206
13	147
11	149
17	263
14	145
5	252
24	133
15	254
17	191
14	262
23	47
24	188
15	201
7	136
4	10
4	160
4	247
9	250
3	72
9	95
14	45
7	254
20	77
9	53
17	72
9	125
3	207
1	95
8	31
19	142
22	77
8	131
7	211
9	58
23	186
22	34
16	4
15	94
4	1
19	9
16	130
9	151
7	92
19	231
24	148
11	220
13	161
3	179
15	27
8	140
10	113
24	88
10	90
7	159
6	249
9	192
2	222
13	243
15	98
23	260
21	81
1	119
22	170
11	5
20	217
24	210
18	39
4	37
7	67
24	197
2	58
10	134
18	126
17	225
12	6
4	55
16	74
18	146
2	232
13	245
15	65
16	161
17	235
17	9
2	196
5	70
21	243
17	128
19	150
9	144
23	251
22	48
22	150
12	199
15	29
4	101
11	52
21	217
17	45
20	44
18	72
4	259
22	245
5	164
7	240
8	210
1	78
17	222
18	29
16	102
2	79
8	248
5	190
10	219
12	71
17	134
23	55
24	3
6	67
8	267
18	187
11	31
22	216
11	42
19	16
12	21
19	66
15	19
23	87
12	227
17	19
12	79
9	23
10	52
24	246
23	175
7	134
18	234
24	191
5	166
1	110
24	209
11	183
23	77
16	231
8	237
17	160
6	128
19	71
7	61
5	118
24	147
14	80
5	264
19	108
19	19
8	156
24	151
24	29
13	75
14	74
18	73
9	3
20	253
8	256
2	101
18	229
13	238
14	182
1	15
10	26
11	113
10	129
14	176
8	92
9	5
6	263
1	32
5	218
2	264
9	121
14	252
10	143
