id	pizzaid	darab	cimid	szallitas
1	24	1	139	10:05:00
2	95	1	244	10:10:00
3	99	1	97	10:10:00
4	99	1	148	10:15:00
5	83	1	71	10:15:00
6	19	1	386	10:20:00
7	112	3	121	10:20:00
8	81	2	21	10:20:00
9	39	2	15	10:25:00
10	65	1	316	10:25:00
11	71	3	127	10:30:00
12	114	1	122	10:30:00
13	43	1	297	10:30:00
14	22	2	366	10:35:00
15	15	1	49	10:35:00
16	64	1	49	10:40:00
17	53	1	240	10:45:00
18	79	2	206	10:45:00
19	35	2	3	10:45:00
20	104	3	278	10:45:00
21	72	2	302	10:45:00
22	114	1	365	10:50:00
23	94	2	194	10:55:00
24	87	1	68	10:55:00
25	21	1	79	10:55:00
26	83	3	289	11:00:00
27	81	1	20	11:05:00
28	2	2	6	11:05:00
29	80	1	6	11:05:00
30	89	1	231	11:10:00
31	41	1	144	11:10:00
32	73	3	301	11:10:00
33	52	3	212	11:25:00
34	60	2	212	11:25:00
35	109	2	212	11:25:00
36	10	1	204	11:25:00
37	94	1	322	11:25:00
38	1	1	65	11:25:00
39	2	3	332	11:30:00
40	4	3	44	11:30:00
41	7	1	347	11:30:00
42	82	1	78	11:30:00
43	110	1	308	11:35:00
44	71	1	264	11:40:00
45	82	1	269	11:45:00
46	99	1	197	11:45:00
47	73	1	116	11:45:00
48	29	2	160	11:50:00
49	78	3	184	11:55:00
50	98	2	88	11:55:00
51	88	4	290	12:00:00
52	89	1	217	12:05:00
53	48	3	368	12:05:00
54	7	1	128	12:10:00
55	87	1	46	12:15:00
56	74	1	131	12:15:00
57	109	2	173	12:20:00
58	77	1	52	12:20:00
59	48	1	27	12:20:00
60	73	1	381	12:20:00
61	29	1	108	12:25:00
62	117	1	5	12:30:00
63	88	1	234	12:35:00
64	1	2	219	12:35:00
65	74	1	133	12:40:00
66	79	1	31	12:40:00
67	89	2	223	12:40:00
68	51	1	348	12:40:00
69	49	4	350	12:40:00
70	63	2	213	12:40:00
71	50	1	229	12:45:00
72	67	1	168	12:45:00
73	32	1	341	12:45:00
74	90	1	3	12:45:00
75	41	1	69	12:50:00
76	18	2	18	12:55:00
77	116	2	369	12:55:00
78	15	1	351	13:00:00
79	116	1	312	13:05:00
80	65	1	318	13:05:00
81	43	2	171	13:10:00
82	66	1	171	13:10:00
83	69	1	251	13:10:00
84	110	1	137	13:10:00
85	83	1	48	13:10:00
86	39	2	373	13:10:00
87	22	1	177	13:15:00
88	36	1	245	13:15:00
89	73	1	32	13:20:00
90	92	1	84	13:25:00
91	110	1	53	13:25:00
92	8	1	291	13:30:00
93	80	3	330	13:30:00
94	81	2	306	13:30:00
95	35	1	30	13:35:00
96	89	2	28	13:35:00
97	111	1	113	13:35:00
98	34	3	42	13:35:00
99	105	3	170	13:35:00
100	38	1	147	13:35:00
101	103	1	94	13:35:00
102	70	1	346	13:35:00
103	39	2	5	13:35:00
104	52	1	59	13:35:00
105	98	2	274	13:40:00
106	2	1	247	13:45:00
107	8	1	273	13:45:00
108	17	1	95	13:45:00
109	12	2	179	13:50:00
110	19	1	93	13:55:00
111	12	2	193	13:55:00
112	83	1	112	14:00:00
113	87	2	309	14:00:00
114	15	1	214	14:00:00
115	103	1	339	14:00:00
116	73	1	186	14:05:00
117	83	2	99	14:05:00
118	88	1	282	14:05:00
119	7	3	320	14:10:00
120	70	1	26	14:10:00
121	81	2	238	14:15:00
122	99	1	260	14:20:00
123	96	4	260	14:20:00
124	18	3	288	14:20:00
125	1	2	61	14:20:00
126	35	1	156	14:20:00
127	3	1	169	14:20:00
128	94	2	371	14:20:00
129	37	1	376	14:25:00
130	117	1	58	14:30:00
131	83	2	181	14:30:00
132	70	2	23	14:35:00
133	24	1	39	14:35:00
134	1	1	265	14:35:00
135	33	3	293	14:40:00
136	4	2	34	14:45:00
137	105	3	135	14:45:00
138	93	1	276	14:45:00
139	56	3	153	14:45:00
140	72	1	90	14:50:00
141	100	1	243	14:50:00
142	33	1	81	14:50:00
143	95	1	9	14:50:00
144	32	2	60	14:50:00
145	56	1	221	14:55:00
146	82	1	343	15:00:00
147	98	3	124	15:05:00
148	95	1	284	15:05:00
149	55	3	2	15:05:00
150	97	3	138	15:10:00
151	51	1	192	15:10:00
152	24	1	29	15:10:00
153	30	3	287	15:10:00
154	15	1	155	15:10:00
155	77	1	140	15:10:00
156	73	1	355	15:15:00
157	52	1	56	15:15:00
158	103	1	267	15:15:00
159	16	2	125	15:15:00
160	83	1	352	15:20:00
161	23	3	43	15:20:00
162	90	1	328	15:20:00
163	10	1	176	15:20:00
164	112	3	109	15:25:00
165	116	1	277	15:25:00
166	30	1	142	15:25:00
167	48	1	334	15:25:00
168	2	1	87	15:30:00
169	51	2	164	15:35:00
170	37	1	259	15:40:00
171	114	1	333	15:40:00
172	61	1	80	15:40:00
173	55	1	279	15:45:00
174	53	1	382	15:50:00
175	11	1	270	15:55:00
176	53	1	202	15:55:00
177	110	1	363	16:00:00
178	37	3	286	16:00:00
179	20	1	106	16:05:00
180	2	1	319	16:05:00
181	99	2	174	16:10:00
182	52	3	161	16:10:00
183	6	1	183	16:15:00
184	76	1	324	16:15:00
185	79	1	385	16:15:00
186	66	1	218	16:15:00
187	93	1	162	16:20:00
188	30	1	145	16:25:00
189	55	2	321	16:30:00
190	5	2	321	16:30:00
191	103	1	119	16:35:00
192	100	3	40	16:40:00
193	74	3	305	16:40:00
194	85	1	266	16:40:00
195	26	1	388	16:40:00
196	37	1	236	16:40:00
197	65	2	296	16:45:00
198	52	1	123	16:50:00
199	114	2	201	16:55:00
200	63	2	103	16:55:00
201	28	1	37	17:00:00
202	32	1	22	17:05:00
203	85	1	14	17:05:00
204	6	2	185	17:10:00
205	50	1	159	17:10:00
206	96	1	237	17:10:00
207	116	1	120	17:10:00
208	88	1	158	17:10:00
209	69	1	187	17:10:00
210	4	2	207	17:10:00
211	4	2	115	17:10:00
212	4	1	38	17:10:00
213	52	1	362	17:10:00
214	76	3	230	17:10:00
215	76	1	134	17:15:00
216	60	1	152	17:15:00
217	25	1	195	17:15:00
218	20	1	225	17:15:00
219	85	2	283	17:15:00
220	51	1	16	17:20:00
221	43	1	189	17:20:00
222	64	1	25	17:25:00
223	110	1	285	17:30:00
224	87	1	191	17:30:00
225	82	3	379	17:35:00
226	52	1	248	17:40:00
227	26	1	126	17:40:00
228	68	2	48	17:40:00
229	18	1	102	17:40:00
230	109	1	186	17:40:00
231	67	1	112	17:40:00
232	103	3	19	17:40:00
233	42	1	360	17:40:00
234	40	1	72	17:40:00
235	87	1	298	17:40:00
236	115	1	104	17:40:00
237	61	1	190	17:45:00
238	88	1	107	17:45:00
239	2	2	377	17:45:00
240	70	1	146	17:45:00
241	105	1	319	17:45:00
242	65	1	359	17:45:00
243	18	1	6	17:45:00
244	85	1	210	17:50:00
245	85	3	150	17:55:00
246	37	3	167	17:55:00
247	31	1	314	17:55:00
248	73	1	255	17:55:00
249	18	1	380	17:55:00
250	56	1	252	17:55:00
251	25	1	54	17:55:00
252	13	1	75	17:55:00
253	104	1	317	18:00:00
254	110	1	111	18:00:00
255	45	1	70	18:05:00
256	45	1	102	18:10:00
257	101	1	321	18:10:00
258	62	1	50	18:10:00
259	40	1	117	18:15:00
260	64	1	96	18:20:00
261	95	2	387	18:20:00
262	41	1	367	18:20:00
263	29	1	114	18:25:00
264	105	2	302	18:30:00
265	62	1	172	18:35:00
266	58	2	66	18:35:00
267	111	1	315	18:35:00
268	112	1	325	18:35:00
269	7	1	44	18:35:00
270	93	3	105	18:35:00
271	60	1	257	18:40:00
272	105	1	228	18:40:00
273	8	1	86	18:40:00
274	62	1	136	18:40:00
275	26	1	198	18:40:00
276	53	3	24	18:40:00
277	34	1	92	18:40:00
278	65	1	100	18:40:00
279	67	1	378	18:45:00
280	104	1	292	18:45:00
281	28	1	12	18:50:00
282	42	2	232	18:50:00
283	101	1	361	18:55:00
284	21	1	263	18:55:00
285	74	1	344	18:55:00
286	28	1	336	19:00:00
287	104	2	340	19:00:00
288	19	1	76	19:00:00
289	5	3	149	19:05:00
290	42	1	175	19:05:00
291	74	1	239	19:05:00
292	64	1	118	19:10:00
293	15	1	323	19:10:00
294	12	3	337	19:10:00
295	43	1	358	19:10:00
296	101	3	165	19:15:00
297	116	1	91	19:15:00
298	82	1	375	19:20:00
299	61	1	256	19:20:00
300	39	3	64	19:20:00
301	102	1	6	19:25:00
302	19	1	47	19:25:00
303	25	1	280	19:25:00
304	101	1	82	19:25:00
305	58	1	235	19:30:00
306	38	3	222	19:35:00
