nev;id;kategoriaid;felirdatum;elsodatum
karfiolleves;1;2;2003.06.27;2003.08.04
töltött paprika;2;3;1991.04.01;1991.05.06
mákos guba;3;6;1991.04.27;
brokkolileves;4;2;1993.11.25;1993.12.04
Újházi tyúkhúsleves;5;2;1992.11.21;1992.12.30
krumplipüré;6;1;1996.09.02;1996.09.25
rizseshús;7;3;1995.01.19;1995.02.18
brassói aprópecsenye;8;3;1996.11.30;1997.01.11
húsvéti tekercs;9;4;1994.09.04;1994.10.08
sárgaborsóleves;10;2;1993.02.18;1993.04.04
babfőzelék;11;5;1996.03.05;1996.04.19
lebbencs;12;2;1991.07.04;1991.08.25
karalábéleves;13;2;1997.11.29;1998.01.11
hagymás rostélyos;14;3;1997.07.20;1997.08.14
finomfőzelék;15;5;1993.04.19;1993.05.26
hamisgulyás;16;2;1991.04.01;1991.05.11
zöldborsófőzelék;17;5;1991.07.21;1991.08.13
zöldbabos marhatokány;18;4;1994.12.12;
zöldséges pulykaragu;19;4;1994.12.21;1995.01.26
húsgombóc paradicsommártással;20;3;1998.11.27;1998.12.08
céklaleves;21;2;1999.02.04;1999.02.13
gulyásleves;22;2;1992.02.20;1992.03.23
mákos nudli;23;6;1997.07.04;1997.08.10
knédli;24;1;1997.03.01;1997.04.06
slambuc;25;2;1995.10.31;1995.11.22
csikóstokány;26;3;1991.08.26;1991.09.12
paradicsomleves;27;2;1994.02.16;1994.03.31
erdélyi krumplileves;28;2;1998.05.15;1998.07.02
tarhonya;29;1;1995.11.16;1995.12.24
körömpörkölt;30;3;1998.01.07;1998.01.19
milánói makaróni;31;3;1994.08.11;
mákostészta;32;6;1993.06.11;1993.07.14
húsleves;33;2;1991.07.13;1991.09.03
frank krumplileves;34;2;1995.01.23;1995.03.02
párolt zöldség;35;1;1999.01.10;1999.02.09
gesztenyekrémleves;36;2;1996.12.29;1997.02.12
erőleves;37;2;1992.08.25;1992.09.01
korhelyleves;38;2;1997.09.14;1997.09.29
fasírt;39;4;1991.08.07;1991.09.04
galambleves;40;2;1996.08.26;1996.09.07
lencsefőzelék;41;5;1995.08.25;1995.10.05
egresleves;42;2;1995.06.08;1995.07.12
paradicsomos krumpli;43;5;1992.05.02;1992.06.23
rakottkrumpli;44;3;1998.09.10;1998.10.01
sonkás burgonyatekercs;45;3;1995.04.15;1995.05.09
francia zöldségleves;46;2;1997.09.16;1997.11.02
zöldbableves;47;2;1997.08.11;1997.09.28
Sztroganoff pulyka;48;4;1991.05.25;
