mennyiseg;egyseg;etelid;hozzavaloid
;;20;2
3;dl;58;15
5;dkg;27;138
3;gerezd;63;56
3;evőkanál;60;2
;;33;72
1;;16;108
;;25;5
;;10;45
1;dl;101;19
10;dkg;115;86
;;105;34
3;gerezd;85;56
1,5;dl;87;115
10;dkg;109;86
;;96;163
;;88;5
;;38;121
5;dkg;8;13
2;dl;81;19
2;dl;73;19
40;dkg;88;86
;;80;34
2;dkg;103;13
1;;7;104
1;evőkanál;86;2
;;91;34
;;19;45
20;dkg;112;79
1;evőkanál;13;2
;;91;130
;;90;34
2;;75;25
;;44;5
;;89;34
1;;11;35
2;dl;79;19
50;dkg;47;26
10;dkg;46;26
;;115;35
2;pár;115;84
;;14;118
2;dkg;43;13
25;dkg;15;27
;;61;61
1;fej;64;16
;;38;107
2;fej;16;11
15;dkg;84;20
10;dkg;75;116
1;;5;66
1;fej;13;11
;;40;5
1;;72;25
15;dkg;98;85
;;80;2
10;dkg;59;21
;;27;8
;;116;34
15;dkg;25;142
2;fej;96;11
;;35;27
;;5;5
35;dkg;109;1
;;83;5
1;dl;53;103
;;90;96
2;;85;35
;;82;114
10;dkg;38;85
;;88;14
;;114;54
1;;80;25
50;dkg;18;155
3;dkg;110;13
;;85;8
5;szál;35;25
3;;9;74
16;;88;3
;;93;77
25;dkg;31;12
25;dkg;24;9
1;fej;46;11
10;dkg;69;86
3;szál;2;123
30;dkg;2;117
2;;46;25
5;dkg;37;27
12;fej;88;11
2;dkg;40;13
1;kg;73;210
2;dkg;75;13
1;csokor;63;213
;;66;14
;;15;8
2;dl;13;19
25;dkg;72;31
2;fej;109;11
30;dkg;66;1
2;dl;48;103
;;103;14
;;20;88
50;dkg;53;134
25;dkg;15;205
2;pár;44;171
;;65;6
2;dkg;116;13
1;fej;72;16
1;db;42;3
;;34;93
;;7;107
2;dkg;63;13
;;116;2
;;62;45
2;;72;127
2;dl;89;19
;;97;14
12;dkg;50;9
;;73;45
2;dkg;15;20
4;szelet;76;151
2;dkg;58;13
;;22;107
3;gerezd;11;56
2;mokkáskanál;95;52
2;dkg;11;13
2;dkg;92;13
2;db;50;3
25;dkg;24;18
5;;33;25
;;4;46
;;65;3
2;dkg;31;13
;;80;5
1;liter;2;169
1;liter;2;167
;;110;45
3;szál;37;32
2;fej;48;11
;;102;5
1;marék;72;33
15;dkg;51;17
;;113;14
1;dl;66;136
25;dkg;102;17
2;szem;53;1
3;teáskanál;98;34
30;dkg;69;179
;;45;5
;;86;58
4;dkg;36;8
15;dkg;84;54
2;pár;90;95
;;30;159
2;evőkanál;93;2
;;47;34
;;46;34
;;66;97
4;szelet;56;187
;;33;11
2;dl;17;49
10;dkg;46;89
2;;33;32
;;38;38
;;116;23
3;;39;3
50;dkg;32;225
5;dkg;112;80
1;fej;103;11
2;dl;62;111
2;;30;127
50;;33;121
1;ek;101;2
;;65;14
2;;62;113
;;34;5
30;dkg;66;134
15;dkg;23;227
;;40;100
;;109;34
15;dkg;44;86
;;94;45
;;53;181
10;gerezd;93;56
;;41;34
;;26;14
50;dkg;48;198
15;dkg;23;9
;;2;13
2;dl;76;103
15;dkg;105;191
2;fej;31;11
75;dkg;38;128
1;fej;1;119
20;dkg;97;30
;;84;216
;;85;2
;;85;34
50;dkg;100;197
;;72;46
;;48;5
2;dkg;73;13
;;115;34
2;dl;36;49
;;96;93
;;61;169
30;dkg;50;1
2;gerezd;72;56
1;evőkanál;1;2
;;14;14
;;16;45
;;90;5
1;kg;9;187
5;dkg;10;33
;;89;2
8;szelet;71;145
;;87;13
;;93;5
1;dl;31;19
1;fej;19;11
1;;25;127
;;15;34
5;dkg;106;20
2;dl;103;167
1;fej;44;11
;;91;38
;;72;5
;;105;19
;;53;14
3;db;19;205
50;dkg;105;223
0,5;dl;53;163
2;dkg;95;20
25;dkg;87;12
30;dkg;45;178
25;dkg;84;215
25;dkg;62;1
;;50;10
2;gerezd;41;56
50;dkg;63;212
1;pohár;86;19
4;dl;30;115
1;;33;65
;;63;100
2;dkg;1;13
3;kávéskanál;74;5
3;;5;25
;;3;5
;;99;43
;;14;13
2;;75;32
;;30;39
;;13;34
45;dkg;28;59
1;fej;41;11
8;szelet;83;86
1;fej;1;11
2;dl;91;115
;;99;42
5;dkg;6;20
;;15;2
;;46;45
1;evőkanál;4;2
;;90;45
15;szem;64;39
2;evőkanál;36;2
1;fej;11;11
;;39;38
6;dkg;23;54
;;82;54
2;szál;27;123
3;dkg;79;13
;;17;34
2;gerezd;75;56
2;vizes;62;74
10;dkg;53;86
